F,X,Y,Z
27.7,0,97.61681106,395.9329428
27.8,0,97.72794024,395.5836771
27.9,0,97.83845966,395.2342179
28,0,97.94836899,394.8845664
28.1,0,98.0576679,394.5347236
28.2,0,98.16635605,394.1846905
28.3,0,98.27443311,393.8344683
28.4,0,98.38189875,393.484058
28.5,0,98.48875265,393.1334607
28.6,0,98.59499448,392.7826774
28.7,0,98.70062392,392.4317092
28.8,0,98.80564064,392.0805572
28.9,0,98.91004432,391.7292224
29,0,99.01383465,391.3777059
29.1,0,99.11701131,391.0260089
29.2,0,99.21957399,390.6741323
29.3,0,99.32152237,390.3220772
29.4,0,99.42285615,389.9698447
29.5,0,99.52357501,389.6174359
29.6,0,99.62367864,389.2648519
29.7,0,99.72316675,388.9120937
29.8,0,99.82203903,388.5591623
29.9,0,99.92029517,388.206059
30,0,100.0179349,387.8527847
30.1,0,100.1149579,387.4993405
30.2,0,100.2113638,387.1457275
30.3,0,100.3071525,386.7919468
30.4,0,100.4023235,386.4379995
30.5,0,100.4968767,386.0838866
30.6,0,100.5908116,385.7296092
30.7,0,100.6841281,385.3751684
30.8,0,100.7768258,385.0205652
30.9,0,100.8689045,384.6658009
31,0,100.9603638,384.3108763
31.1,0,101.0512036,383.9557927
31.2,0,101.1414235,383.600551
31.3,0,101.2310232,383.2451525
31.4,0,101.3200025,382.8895981
31.5,0,101.4083611,382.5338889
31.6,0,101.4960988,382.1780261
31.7,0,101.5832152,381.8220107
31.8,0,101.6697101,381.4658438
31.9,0,101.7555833,381.1095264
32,0,101.8408344,380.7530597
32.1,0,101.9254633,380.3964448
32.2,0,102.0094696,380.0396827
32.3,0,102.0928531,379.6827746
32.4,0,102.1756136,379.3257214
32.5,0,102.2577508,378.9685244
32.6,0,102.3392644,378.6111845
32.7,0,102.4201542,378.2537029
32.8,0,102.50042,377.8960807
32.9,0,102.5800615,377.5383189
33,0,102.6590785,377.1804187
33.1,0,102.7374706,376.8223811
33.2,0,102.8152378,376.4642073
33.3,0,102.8923797,376.1058982
33.4,0,102.9688962,375.7474551
33.5,0,103.0447869,375.3888789
33.6,0,103.1200516,375.0301709
33.7,0,103.1946902,374.671332
33.8,0,103.2687024,374.3123634
33.9,0,103.342088,373.9532662
34,0,103.4148467,373.5940415
34.1,0,103.4869783,373.2346903
34.2,0,103.5584826,372.8752138
34.3,0,103.6293594,372.515613
34.4,0,103.6996085,372.155889
34.5,0,103.7692297,371.796043
34.6,0,103.8382227,371.4360761
34.7,0,103.9065873,371.0759892
34.8,0,103.9743233,370.7157836
