F,X,Y,Z
0,0,6.16794E-12,420
0.1,0,0.366518957,419.9996802
0.2,0,0.733036797,419.9987206
0.3,0,1.099552405,419.9971214
0.4,0,1.466064663,419.9948824
0.5,0,1.832572455,419.9920038
0.6,0,2.199074664,419.9884856
0.7,0,2.565570175,419.9843276
0.8,0,2.932057871,419.97953
0.9,0,3.298536635,419.9740928
1,0,3.665005352,419.968016
1.1,0,4.031462904,419.9612995
1.2,0,4.397908176,419.9539435
1.3,0,4.76434005,419.945948
1.4,0,5.130757412,419.9373129
1.5,0,5.497159145,419.9280382
1.6,0,5.863544132,419.9181242
1.7,0,6.229911258,419.9075706
1.8,0,6.596259406,419.8963777
1.9,0,6.962587462,419.8845453
2,0,7.328894308,419.8720737
2.1,0,7.695178828,419.8589627
2.2,0,8.061439908,419.8452124
2.3,0,8.427676432,419.830823
2.4,0,8.793887283,419.8157943
2.5,0,9.160071347,419.8001265
2.6,0,9.526227507,419.7838197
2.7,0,9.892354649,419.7668737
2.8,0,10.25845166,419.7492888
2.9,0,10.62451742,419.731065
3,0,10.99055081,419.7122023
3.1,0,11.35655073,419.6927008
3.2,0,11.72251605,419.6725605
3.3,0,12.08844566,419.6517815
3.4,0,12.45433845,419.6303639
3.5,0,12.8201933,419.6083077
3.6,0,13.1860091,419.585613
3.7,0,13.55178473,419.5622798
3.8,0,13.91751908,419.5383083
3.9,0,14.28321104,419.5136986
4,0,14.64885949,419.4884506
4.1,0,15.01446331,419.4625644
4.2,0,15.3800214,419.4360402
4.3,0,15.74553263,419.408878
4.4,0,16.11099591,419.381078
4.5,0,16.4764101,419.3526401
4.6,0,16.84177411,419.3235645
4.7,0,17.20708681,419.2938512
4.8,0,17.5723471,419.2635004
4.9,0,17.93755386,419.2325122
5,0,18.30270598,419.2008866
5.1,0,18.66780234,419.1686237
5.2,0,19.03284184,419.1357237
5.3,0,19.39782336,419.1021866
5.4,0,19.7627458,419.0680126
5.5,0,20.12760803,419.0332017
5.6,0,20.49240895,418.997754
5.7,0,20.85714745,418.9616697
5.8,0,21.22182241,418.9249489
5.9,0,21.58643273,418.8875916
6,0,21.95097729,418.849598
6.1,0,22.31545498,418.8109683
6.2,0,22.6798647,418.7717024
6.3,0,23.04420533,418.7318006
6.4,0,23.40847576,418.691263
6.5,0,23.77267489,418.6500897
6.6,0,24.1368016,418.6082808
6.7,0,24.50085479,418.5658364
6.8,0,24.86483334,418.5227567
6.9,0,25.22873616,418.4790418
7,0,25.59256212,418.4346918
7.1,0,25.95631012,418.389707
7.2,0,26.31997905,418.3440873
7.3,0,26.68356781,418.2978329
7.4,0,27.04707528,418.2509441
7.5,0,27.41050037,418.2034209
7.6,0,27.77384195,418.1552635
7.7,0,28.13709894,418.1064719
7.8,0,28.50027021,418.0570465
7.9,0,28.86335467,418.0069873
8,0,29.2263512,417.9562944
8.1,0,29.58925871,417.9049681
8.2,0,29.95207608,417.8530085
8.3,0,30.31480221,417.8004157
8.4,0,30.677436,417.7471899
8.5,0,31.03997634,417.6933313
8.6,0,31.40242212,417.63884
8.7,0,31.76477225,417.5837162
8.8,0,32.12702562,417.5279601
8.9,0,32.48918112,417.4715718
9,0,32.85123766,417.4145515
9.1,0,33.21319412,417.3568994
9.2,0,33.57504942,417.2986157
9.3,0,33.93680243,417.2397004
9.4,0,34.29845207,417.1801539
9.5,0,34.65999723,417.1199763
9.6,0,35.02143681,417.0591678
9.7,0,35.38276971,416.9977285
9.8,0,35.74399482,416.9356587
9.9,0,36.10511106,416.8729585
10,0,36.46611731,416.8096281
10.1,0,36.82701248,416.7456678
10.2,0,37.18779547,416.6810777
10.3,0,37.54846517,416.615858
10.4,0,37.9090205,416.5500089
10.5,0,38.26946035,416.4835306
10.6,0,38.62978363,416.4164233
10.7,0,38.98998923,416.3486873
10.8,0,39.35007606,416.2803227
10.9,0,39.71004303,416.2113297
11,0,40.06988903,416.1417085
11.1,0,40.42961297,416.0714594
11.2,0,40.78921376,416.0005826
11.3,0,41.14869029,415.9290783
11.4,0,41.50804148,415.8569467
11.5,0,41.86726623,415.784188
11.6,0,42.22636344,415.7108024
11.7,0,42.58533202,415.6367902
11.8,0,42.94417089,415.5621516
11.9,0,43.30287893,415.4868869
12,0,43.66145507,415.4109962
12.1,0,44.01989821,415.3344797
12.2,0,44.37820726,415.2573378
12.3,0,44.73638112,415.1795706
12.4,0,45.09441871,415.1011785
12.5,0,45.45231893,415.0221615
12.6,0,45.81008069,414.94252
12.7,0,46.16770291,414.8622542
12.8,0,46.5251845,414.7813644
12.9,0,46.88252436,414.6998508
13,0,47.23972141,414.6177136
13.1,0,47.59677456,414.5349531
13.2,0,47.95368272,414.4515696
13.3,0,48.31044481,414.3675633
13.4,0,48.66705973,414.2829344
13.5,0,49.02352641,414.1976833
13.6,0,49.37984375,414.1118101
13.7,0,49.73601067,414.0253152
13.8,0,50.09202609,413.9381988
13.9,0,50.44788892,413.8504611
14,0,50.80359808,413.7621025
14.1,0,51.15915248,413.6731232
14.2,0,51.51455103,413.5835235
14.3,0,51.86979267,413.4933036
14.4,0,52.2248763,413.4024638
14.5,0,52.57980085,413.3110045
14.6,0,52.93456523,413.2189258
14.7,0,53.28916836,413.1262281
14.8,0,53.64360917,413.0329116
14.9,0,53.99788656,412.9389767
15,0,54.35199947,412.8444235
15.1,0,54.70594681,412.7492525
15.2,0,55.05972751,412.6534638
15.3,0,55.41334049,412.5570579
15.4,0,55.76678467,412.4600349
15.5,0,56.12005898,412.3623952
15.6,0,56.47316233,412.264139
15.7,0,56.82609365,412.1652667
15.8,0,57.17885188,412.0657786
15.9,0,57.53143593,411.965675
16,0,57.88384472,411.8649561
16.1,0,58.23607719,411.7636224
16.2,0,58.58813227,411.661674
16.3,0,58.94000887,411.5591113
16.4,0,59.29170594,411.4559347
16.5,0,59.64322239,411.3521443
16.6,0,59.99455716,411.2477406
16.7,0,60.34570917,411.1427239
16.8,0,60.69667736,411.0370945
16.9,0,61.04746066,410.9308527
17,0,61.39805799,410.8239988
17.1,0,61.7484683,410.7165331
17.2,0,62.09869051,410.608456
17.3,0,62.44872356,410.4997679
17.4,0,62.79856637,410.390469
17.5,0,63.1482179,410.2805597
17.6,0,63.49767706,410.1700402
17.7,0,63.84694279,410.0589111
17.8,0,64.19601404,409.9471725
17.9,0,64.54488974,409.8348248
18,0,64.89356882,409.7218684
18.1,0,65.24205022,409.6083036
18.2,0,65.59033289,409.4941308
18.3,0,65.93841575,409.3793503
18.4,0,66.28629776,409.2639624
18.5,0,66.63397785,409.1479676
18.6,0,66.98145495,409.0313661
18.7,0,67.32872802,408.9141583
18.8,0,67.675796,408.7963446
18.9,0,68.02265782,408.6779254
19,0,68.36931244,408.5589009
19.1,0,68.71575879,408.4392716
19.2,0,69.06199582,408.3190377
19.3,0,69.40802247,408.1981998
19.4,0,69.7538377,408.0767582
19.5,0,70.09944044,407.9547131
19.6,0,70.44482965,407.8320651
19.7,0,70.79000427,407.7088144
19.8,0,71.13496325,407.5849615
19.9,0,71.47970554,407.4605067
20,0,71.8242301,407.3354504
20.1,0,72.16853586,407.2097929
20.2,0,72.51262179,407.0835348
20.3,0,72.85648683,406.9566763
20.4,0,73.20012994,406.8292178
20.5,0,73.54355006,406.7011597
20.6,0,73.88674616,406.5725025
20.7,0,74.22971719,406.4432465
20.8,0,74.57246211,406.313392
20.9,0,74.91497986,406.1829396
21,0,75.2572694,406.0518896
21.1,0,75.59932971,405.9202423
21.2,0,75.94115972,405.7879983
21.3,0,76.2827584,405.6551578
21.4,0,76.62412471,405.5217213
21.5,0,76.96525761,405.3876893
21.6,0,77.30615606,405.253062
21.7,0,77.64681903,405.11784
21.8,0,77.98724547,404.9820236
21.9,0,78.32743434,404.8456133
22,0,78.66738462,404.7086095
22.1,0,79.00709526,404.5710125
22.2,0,79.34656523,404.4328228
22.3,0,79.6857935,404.2940409
22.4,0,80.02477903,404.1546671
22.5,0,80.3635208,404.0147018
22.6,0,80.70201776,403.8741456
22.7,0,81.04026889,403.7329988
22.8,0,81.37827315,403.5912618
22.9,0,81.71602953,403.4489352
23,0,82.05353698,403.3060192
23.1,0,82.39079449,403.1625144
23.2,0,82.72780101,403.0184212
23.3,0,83.06455554,402.8737401
23.4,0,83.40105703,402.7284714
23.5,0,83.73730447,402.5826156
23.6,0,84.07329684,402.4361732
23.7,0,84.4090331,402.2891446
23.8,0,84.74451223,402.1415302
23.9,0,85.07973322,401.9933306
24,0,85.41469505,401.8445461
24.1,0,85.74939668,401.6951772
24.2,0,86.08383711,401.5452244
24.3,0,86.41801531,401.3946881
24.4,0,86.75193026,401.2435688
24.5,0,87.08558096,401.0918669
24.6,0,87.41896637,400.9395829
24.7,0,87.7520855,400.7867173
24.8,0,88.08493731,400.6332705
24.9,0,88.41752081,400.479243
25,0,88.74983497,400.3246353
25.1,0,89.08187878,400.1694478
25.2,0,89.41365123,400.013681
25.3,0,89.74515131,399.8573354
25.4,0,90.07637801,399.7004115
25.5,0,90.40733033,399.5429097
25.6,0,90.73800725,399.3848305
25.7,0,91.06840776,399.2261745
25.8,0,91.39853087,399.066942
25.9,0,91.72837556,398.9071336
26,0,92.05794083,398.7467497
26.1,0,92.38722567,398.5857909
26.2,0,92.71622909,398.4242576
26.3,0,93.04495007,398.2621504
26.4,0,93.37338763,398.0994697
26.5,0,93.70154075,397.9362159
26.6,0,94.02940845,397.7723897
26.7,0,94.35698971,397.6079915
26.8,0,94.68428354,397.4430219
26.9,0,95.01128896,397.2774812
27,0,95.33800495,397.1113701
27.1,0,95.66443052,396.944689
27.2,0,95.99056468,396.7774384
27.3,0,96.31640644,396.6096189
27.4,0,96.6419548,396.4412309
27.5,0,96.96720878,396.272275
27.6,0,97.29216738,396.1027516
27.7,0,97.6168296,395.9326614
27.8,0,97.94119447,395.7620048
27.9,0,98.26526099,395.5907823
28,0,98.58902819,395.4189945
28.1,0,98.91249506,395.2466419
28.2,0,99.23566062,395.0737249
28.3,0,99.5585239,394.9002442
28.4,0,99.8810839,394.7262003
28.5,0,100.2033397,394.5515937
28.6,0,100.5252902,394.3764248
28.7,0,100.8469345,394.2006944
28.8,0,101.1682716,394.0244028
28.9,0,101.4893005,393.8475507
29,0,101.8100203,393.6701385
29.1,0,102.1304299,393.4921668
29.2,0,102.4505284,393.3136362
29.3,0,102.7703149,393.1345472
29.4,0,103.0897883,392.9549003
29.5,0,103.4089476,392.7746961
29.6,0,103.727792,392.5939352
29.7,0,104.0463204,392.412618
29.8,0,104.3645318,392.2307452
29.9,0,104.6824253,392.0483173
30,0,105,391.8653348
30.1,0,105.3172548,391.6817983
30.2,0,105.6341888,391.4977084
30.3,0,105.950801,391.3130656
30.4,0,106.2670905,391.1278705
30.5,0,106.5830562,390.9421237
30.6,0,106.8986973,390.7558257
30.7,0,107.2140128,390.568977
30.8,0,107.5290016,390.3815784
30.9,0,107.8436629,390.1936302
31,0,108.1579957,390.0051331
